Student ID,Event Name,Department,Event Type,Overall_Rating,Comments
251,Data Science Seminar,Electronics,Seminar,7,"Great event, very informative!"
950,Startup Pitch Event,Computer Science,Technical Talk,7,"Average event, could improve the pace."
446,Cybersecurity Workshop,Mechanical,Competition,8,The event started late.
587,Hackathon,IT,Workshop,3,Amazing experience!
915,Data Science Seminar,Electronics,Competition,7,Amazing experience!
603,Hackathon,Electronics,Seminar,2,"Excellent session, learned a lot!"
693,AI Workshop,Management,Workshop,4,"Too many participants, difficult to manage."
671,Data Science Seminar,Civil,Technical Talk,3,"Average event, could improve the pace."
622,Cultural Fest,Civil,Competition,4,"Too many participants, difficult to manage."
143,Startup Pitch Event,Civil,Competition,9,Loved the speaker and content.
800,Hackathon,IT,Competition,5,Loved the speaker and content.
917,Hackathon,Computer Science,Seminar,8,Amazing experience!
960,AI Workshop,Management,Seminar,6,Could be more interactive.
695,AI Workshop,IT,Competition,2,"Excellent session, learned a lot!"
555,Cloud Computing Seminar,Electronics,Technical Talk,7,"Excellent session, learned a lot!"
637,Hackathon,Mechanical,Seminar,3,Amazing experience!
823,Robotics Demo,IT,Seminar,8,Not satisfied with the arrangements.
882,AI Workshop,Computer Science,Workshop,7,Well organized and detailed.
985,Coding Competition,IT,Competition,4,"Too many participants, difficult to manage."
104,Robotics Demo,IT,Seminar,10,Amazing experience!
979,Startup Pitch Event,Management,Competition,6,Well organized and detailed.
402,Coding Competition,Mechanical,Competition,2,Loved the speaker and content.
894,Data Science Seminar,IT,Technical Talk,3,The event started late.
916,Cloud Computing Seminar,IT,Competition,9,"Too many participants, difficult to manage."
524,Hackathon,Computer Science,Technical Talk,3,"Average event, could improve the pace."
997,AI Workshop,Civil,Competition,9,The event started late.
743,Coding Competition,IT,Competition,3,Loved the speaker and content.
492,Cybersecurity Workshop,IT,Competition,10,"Excellent session, learned a lot!"
670,Coding Competition,Management,Competition,3,The event started late.
830,Hackathon,Mechanical,Competition,10,Loved the speaker and content.
529,Hackathon,Mechanical,Technical Talk,4,Could be more interactive.
956,Cybersecurity Workshop,Computer Science,Workshop,4,Loved the speaker and content.
388,Coding Competition,Mechanical,Technical Talk,6,"Too many participants, difficult to manage."
130,Coding Competition,Computer Science,Technical Talk,3,"Excellent session, learned a lot!"
361,Data Science Seminar,Electronics,Technical Talk,6,The event started late.
299,Coding Competition,Management,Seminar,2,Well organized and detailed.
482,Coding Competition,Computer Science,Workshop,9,Amazing experience!
326,Hackathon,Mechanical,Workshop,4,"Great event, very informative!"
921,Startup Pitch Event,Civil,Seminar,7,"Too many participants, difficult to manage."
393,Hackathon,Civil,Seminar,2,Not satisfied with the arrangements.
582,Cultural Fest,Civil,Technical Talk,6,"Too many participants, difficult to manage."
795,Coding Competition,Civil,Seminar,5,Well organized and detailed.
790,Startup Pitch Event,Computer Science,Competition,4,Not satisfied with the arrangements.
989,Cloud Computing Seminar,IT,Seminar,1,Loved the speaker and content.
659,Startup Pitch Event,Electronics,Seminar,10,Loved the speaker and content.
867,Hackathon,Computer Science,Seminar,6,"Great event, very informative!"
930,Cybersecurity Workshop,Computer Science,Seminar,5,The event started late.
561,AI Workshop,Mechanical,Competition,5,Could be more interactive.
658,Data Science Seminar,Computer Science,Technical Talk,6,"Average event, could improve the pace."
448,AI Workshop,Civil,Competition,2,The event started late.
535,Startup Pitch Event,IT,Workshop,4,"Excellent session, learned a lot!"
444,Data Science Seminar,Civil,Competition,2,"Average event, could improve the pace."
492,Startup Pitch Event,IT,Competition,7,"Great event, very informative!"
116,Cloud Computing Seminar,Electronics,Workshop,3,Loved the speaker and content.
310,Data Science Seminar,Computer Science,Technical Talk,5,"Excellent session, learned a lot!"
711,Cybersecurity Workshop,Mechanical,Technical Talk,1,Amazing experience!
750,Startup Pitch Event,Electronics,Technical Talk,9,Not satisfied with the arrangements.
908,Data Science Seminar,Mechanical,Technical Talk,8,"Average event, could improve the pace."
285,Cybersecurity Workshop,Management,Seminar,8,The event started late.
128,Robotics Demo,IT,Seminar,10,Well organized and detailed.
952,Cultural Fest,IT,Competition,10,Well organized and detailed.
181,Coding Competition,Civil,Seminar,1,"Excellent session, learned a lot!"
455,Cultural Fest,Electronics,Workshop,10,The event started late.
696,Hackathon,Management,Technical Talk,7,Well organized and detailed.
975,Robotics Demo,Civil,Seminar,4,Loved the speaker and content.
933,Data Science Seminar,Computer Science,Workshop,7,"Average event, could improve the pace."
348,Coding Competition,IT,Competition,9,"Excellent session, learned a lot!"
264,Robotics Demo,Electronics,Technical Talk,10,Loved the speaker and content.
121,Data Science Seminar,IT,Seminar,1,The event started late.
327,Coding Competition,Computer Science,Workshop,5,Could be more interactive.
773,Coding Competition,Management,Seminar,9,Not satisfied with the arrangements.
626,Coding Competition,IT,Seminar,8,Loved the speaker and content.
366,Coding Competition,IT,Seminar,5,"Great event, very informative!"
363,Hackathon,Civil,Technical Talk,4,Not satisfied with the arrangements.
727,Hackathon,Civil,Workshop,2,Well organized and detailed.
591,Cybersecurity Workshop,Mechanical,Seminar,3,The event started late.
857,Cloud Computing Seminar,Computer Science,Seminar,8,The event started late.
352,Hackathon,Computer Science,Technical Talk,2,Not satisfied with the arrangements.
598,Hackathon,Electronics,Workshop,10,Amazing experience!
374,Coding Competition,Civil,Seminar,6,The event started late.
348,Coding Competition,Computer Science,Competition,6,Amazing experience!
677,Robotics Demo,Electronics,Workshop,9,The event started late.
785,Coding Competition,Computer Science,Competition,2,"Average event, could improve the pace."
161,Hackathon,Computer Science,Competition,3,"Average event, could improve the pace."
393,Cybersecurity Workshop,IT,Technical Talk,5,"Great event, very informative!"
171,Coding Competition,IT,Workshop,10,"Excellent session, learned a lot!"
917,Startup Pitch Event,Electronics,Workshop,8,Amazing experience!
525,Data Science Seminar,Electronics,Technical Talk,10,Could be more interactive.
350,Startup Pitch Event,IT,Workshop,8,"Average event, could improve the pace."
674,Hackathon,Electronics,Technical Talk,5,Well organized and detailed.
315,Hackathon,Mechanical,Technical Talk,7,The event started late.
422,Robotics Demo,Mechanical,Workshop,6,Loved the speaker and content.
172,Startup Pitch Event,Civil,Technical Talk,1,Well organized and detailed.
265,Cybersecurity Workshop,Electronics,Seminar,9,The event started late.
679,Cultural Fest,Electronics,Technical Talk,2,Not satisfied with the arrangements.
693,Coding Competition,IT,Workshop,8,The event started late.
136,AI Workshop,Electronics,Technical Talk,4,"Too many participants, difficult to manage."
121,Robotics Demo,Computer Science,Workshop,10,"Great event, very informative!"
245,Cloud Computing Seminar,Computer Science,Competition,7,"Too many participants, difficult to manage."
760,Startup Pitch Event,Mechanical,Technical Talk,2,Well organized and detailed.
726,Cybersecurity Workshop,Management,Competition,1,Amazing experience!
634,Cultural Fest,Electronics,Competition,5,Loved the speaker and content.
691,Robotics Demo,Computer Science,Seminar,1,Amazing experience!
782,Cybersecurity Workshop,Mechanical,Seminar,1,"Average event, could improve the pace."
139,Hackathon,Electronics,Seminar,2,"Great event, very informative!"
287,Startup Pitch Event,Management,Competition,3,"Great event, very informative!"
637,Cultural Fest,Management,Workshop,9,"Excellent session, learned a lot!"
629,Cloud Computing Seminar,IT,Technical Talk,2,Well organized and detailed.
928,Hackathon,Electronics,Competition,1,The event started late.
282,Cultural Fest,Computer Science,Workshop,10,Not satisfied with the arrangements.
186,Hackathon,Computer Science,Seminar,7,"Average event, could improve the pace."
185,Cybersecurity Workshop,Electronics,Technical Talk,9,Not satisfied with the arrangements.
686,Hackathon,Computer Science,Seminar,8,The event started late.
304,Startup Pitch Event,Management,Technical Talk,8,Could be more interactive.
672,Coding Competition,Mechanical,Workshop,4,Not satisfied with the arrangements.
198,Startup Pitch Event,Computer Science,Competition,3,The event started late.
369,Cultural Fest,IT,Competition,5,Loved the speaker and content.
276,Hackathon,IT,Seminar,10,The event started late.
911,Data Science Seminar,Electronics,Technical Talk,9,The event started late.
923,Data Science Seminar,IT,Workshop,6,"Great event, very informative!"
301,Coding Competition,Management,Workshop,5,Loved the speaker and content.
482,Coding Competition,IT,Competition,1,The event started late.
237,Coding Competition,Electronics,Workshop,7,"Average event, could improve the pace."
496,Coding Competition,Civil,Technical Talk,5,The event started late.
386,Data Science Seminar,Civil,Competition,4,Could be more interactive.
224,Robotics Demo,Computer Science,Workshop,5,Amazing experience!
937,Startup Pitch Event,Electronics,Technical Talk,7,Well organized and detailed.
791,Startup Pitch Event,Electronics,Competition,8,"Great event, very informative!"
205,Cybersecurity Workshop,Civil,Seminar,6,The event started late.
836,AI Workshop,IT,Workshop,3,"Great event, very informative!"
677,AI Workshop,Computer Science,Workshop,1,Loved the speaker and content.
686,Data Science Seminar,Mechanical,Technical Talk,7,Well organized and detailed.
879,Hackathon,Civil,Workshop,2,Not satisfied with the arrangements.
591,Cybersecurity Workshop,Electronics,Seminar,2,Loved the speaker and content.
905,Robotics Demo,IT,Workshop,8,Loved the speaker and content.
265,Startup Pitch Event,Civil,Technical Talk,3,"Average event, could improve the pace."
406,Startup Pitch Event,IT,Competition,1,The event started late.
765,Hackathon,Computer Science,Seminar,8,"Too many participants, difficult to manage."
200,AI Workshop,Civil,Seminar,9,Not satisfied with the arrangements.
162,Startup Pitch Event,Civil,Competition,6,Well organized and detailed.
416,Cloud Computing Seminar,Mechanical,Seminar,6,"Too many participants, difficult to manage."
257,Robotics Demo,Management,Competition,10,"Excellent session, learned a lot!"
515,Cybersecurity Workshop,Management,Workshop,10,Amazing experience!
193,AI Workshop,Electronics,Seminar,5,Loved the speaker and content.
142,Data Science Seminar,Civil,Seminar,9,"Great event, very informative!"
788,Cybersecurity Workshop,Electronics,Seminar,6,Amazing experience!
337,Startup Pitch Event,IT,Seminar,7,The event started late.
476,Cloud Computing Seminar,Civil,Competition,8,Not satisfied with the arrangements.
468,Cybersecurity Workshop,Electronics,Competition,8,"Too many participants, difficult to manage."
766,Cloud Computing Seminar,IT,Technical Talk,1,Not satisfied with the arrangements.
901,Startup Pitch Event,Electronics,Workshop,5,Well organized and detailed.
431,Cloud Computing Seminar,Mechanical,Technical Talk,10,"Excellent session, learned a lot!"
124,Hackathon,Mechanical,Seminar,9,Loved the speaker and content.
200,Data Science Seminar,Mechanical,Seminar,2,The event started late.
641,AI Workshop,Mechanical,Workshop,5,Well organized and detailed.
972,Hackathon,Management,Seminar,7,"Excellent session, learned a lot!"
922,Robotics Demo,Electronics,Technical Talk,9,Well organized and detailed.
306,Data Science Seminar,Management,Seminar,8,Could be more interactive.
648,Hackathon,Civil,Technical Talk,6,"Too many participants, difficult to manage."
451,Cybersecurity Workshop,Civil,Seminar,4,Amazing experience!
483,Cybersecurity Workshop,IT,Technical Talk,6,"Average event, could improve the pace."
459,AI Workshop,Mechanical,Competition,5,"Excellent session, learned a lot!"
476,Startup Pitch Event,Mechanical,Competition,3,"Excellent session, learned a lot!"
806,Coding Competition,Mechanical,Workshop,6,"Average event, could improve the pace."
275,Robotics Demo,Electronics,Workshop,4,"Average event, could improve the pace."
189,Hackathon,Computer Science,Seminar,3,"Excellent session, learned a lot!"
990,Cloud Computing Seminar,Civil,Workshop,1,The event started late.
728,AI Workshop,IT,Seminar,8,"Too many participants, difficult to manage."
676,AI Workshop,Mechanical,Technical Talk,6,"Average event, could improve the pace."
120,Cybersecurity Workshop,Electronics,Technical Talk,1,"Excellent session, learned a lot!"
771,Coding Competition,Electronics,Technical Talk,5,Not satisfied with the arrangements.
441,Cultural Fest,Mechanical,Seminar,5,"Excellent session, learned a lot!"
468,Robotics Demo,Mechanical,Competition,6,"Excellent session, learned a lot!"
187,Startup Pitch Event,Management,Technical Talk,6,"Too many participants, difficult to manage."
526,Hackathon,Civil,Competition,5,"Average event, could improve the pace."
570,Cybersecurity Workshop,Civil,Technical Talk,7,Could be more interactive.
549,Hackathon,IT,Competition,1,Amazing experience!
925,Startup Pitch Event,Computer Science,Seminar,6,Loved the speaker and content.
426,Cybersecurity Workshop,Management,Workshop,2,"Average event, could improve the pace."
881,Cloud Computing Seminar,Management,Workshop,5,Amazing experience!
448,Coding Competition,Electronics,Competition,9,The event started late.
633,Coding Competition,Civil,Seminar,1,Loved the speaker and content.
237,Coding Competition,Computer Science,Technical Talk,1,Well organized and detailed.
639,Data Science Seminar,Computer Science,Seminar,1,The event started late.
562,Cloud Computing Seminar,Electronics,Technical Talk,4,"Average event, could improve the pace."
358,Robotics Demo,Electronics,Technical Talk,7,Loved the speaker and content.
696,Startup Pitch Event,IT,Competition,7,Could be more interactive.
887,Cybersecurity Workshop,Management,Technical Talk,8,"Too many participants, difficult to manage."
335,Hackathon,Civil,Technical Talk,4,Well organized and detailed.
461,Cloud Computing Seminar,Management,Seminar,9,Not satisfied with the arrangements.
245,Cybersecurity Workshop,Computer Science,Seminar,8,Well organized and detailed.
461,Startup Pitch Event,Computer Science,Workshop,7,"Average event, could improve the pace."
404,Startup Pitch Event,Management,Workshop,10,Amazing experience!
783,Data Science Seminar,Computer Science,Workshop,7,"Too many participants, difficult to manage."
136,Cloud Computing Seminar,Management,Workshop,3,Loved the speaker and content.
362,Data Science Seminar,Electronics,Technical Talk,1,"Too many participants, difficult to manage."
503,Startup Pitch Event,IT,Seminar,1,Loved the speaker and content.
331,Cybersecurity Workshop,Management,Competition,2,"Excellent session, learned a lot!"
177,Startup Pitch Event,Computer Science,Competition,2,"Too many participants, difficult to manage."
330,Cybersecurity Workshop,Electronics,Competition,3,Well organized and detailed.
